STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
MOM00060230,"MENARA, MO",2003-01-20,0,50,,36
MOM00060230,"MENARA, MO",2003-01-21,0,56,68,
MOM00060230,"MENARA, MO",2003-01-22,0,62,67,
MOM00060230,"MENARA, MO",2003-01-23,0,62,,56
MOM00060230,"MENARA, MO",2003-01-24,0,57,72,48
MOM00060230,"MENARA, MO",2003-01-25,0,54,70,
MOM00060230,"MENARA, MO",2003-01-26,0,53,68,
MOM00060230,"MENARA, MO",2003-01-27,0,53,67,
MOM00060230,"MENARA, MO",2003-01-28,0,57,71,43
MOM00060230,"MENARA, MO",2003-01-29,0,55,65,32
MOM00060230,"MENARA, MO",2003-01-30,0,54,60,
MOM00060230,"MENARA, MO",2003-01-31,0,48,59,
MOM00060230,"MENARA, MO",2003-02-01,0,48,60,38
MOM00060230,"MENARA, MO",2003-02-02,0,50,67,
MOM00060230,"MENARA, MO",2003-02-03,0,53,68,41
MOM00060230,"MENARA, MO",2003-02-04,0,55,,42
MOM00060230,"MENARA, MO",2003-02-05,0,54,65,
MOM00060230,"MENARA, MO",2003-02-06,0,55,,51
MOM00060230,"MENARA, MO",2003-02-07,0,53,67,
MOM00060230,"MENARA, MO",2003-02-08,0,53,60,43
MOM00060230,"MENARA, MO",2003-02-09,0,54,65,44
MOM00060230,"MENARA, MO",2003-02-10,0,54,71,
MOM00060230,"MENARA, MO",2003-02-11,0,56,72,
MOM00060230,"MENARA, MO",2003-02-12,0,59,73,46
MOM00060230,"MENARA, MO",2003-02-13,0,56,,44
MOM00060230,"MENARA, MO",2003-02-14,0,53,58,
MOM00060230,"MENARA, MO",2003-02-15,0.04,51,59,43
MOM00060230,"MENARA, MO",2003-02-16,0,50,58,
MOM00060230,"MENARA, MO",2003-02-17,0,51,65,
MOM00060230,"MENARA, MO",2003-02-18,0,54,71,
MOM00060230,"MENARA, MO",2003-02-19,,50,,43
MOM00060230,"MENARA, MO",2003-02-20,0,52,60,48
MOM00060230,"MENARA, MO",2003-02-21,0,54,67,
MOM00060230,"MENARA, MO",2003-02-22,0,59,72,52
MOM00060230,"MENARA, MO",2003-02-23,0,63,80,
MOM00060230,"MENARA, MO",2003-02-24,0,59,,52
MOM00060230,"MENARA, MO",2003-02-25,,58,67,
MOM00060230,"MENARA, MO",2003-02-26,0.12,57,67,51
MOM00060230,"MENARA, MO",2003-02-27,0,58,,
MOM00060230,"MENARA, MO",2003-02-28,0,63,,
MOM00060230,"MENARA, MO",2003-03-01,0,65,,
MOM00060230,"MENARA, MO",2003-03-02,0,66,83,
MOM00060230,"MENARA, MO",2003-03-03,0,67,83,
MOM00060230,"MENARA, MO",2003-03-04,0,69,84,51
MOM00060230,"MENARA, MO",2003-03-05,0,68,82,54
MOM00060230,"MENARA, MO",2003-03-06,0,67,82,
MOM00060230,"MENARA, MO",2003-03-07,0,66,81,54
MOM00060230,"MENARA, MO",2003-03-08,,60,,
MOM00060230,"MENARA, MO",2003-03-09,0,63,74,
MOM00060230,"MENARA, MO",2003-03-10,0,63,78,50
MOM00060230,"MENARA, MO",2003-03-11,0,71,88,
MOM00060230,"MENARA, MO",2003-03-12,0,73,87,59
MOM00060230,"MENARA, MO",2003-03-13,0,68,81,
MOM00060230,"MENARA, MO",2003-03-14,0,69,84,56
MOM00060230,"MENARA, MO",2003-03-15,0,70,89,55
MOM00060230,"MENARA, MO",2003-03-16,,66,75,60
MOM00060230,"MENARA, MO",2003-03-17,0.51,59,68,53
MOM00060230,"MENARA, MO",2003-03-18,0,59,,
MOM00060230,"MENARA, MO",2003-03-19,0,60,64,55
MOM00060230,"MENARA, MO",2003-03-20,0,61,69,52
MOM00060230,"MENARA, MO",2003-03-21,,55,64,52
MOM00060230,"MENARA, MO",2003-03-22,0.2,53,,
MOM00060230,"MENARA, MO",2003-03-23,0.39,56,67,
MOM00060230,"MENARA, MO",2003-03-24,0,64,74,55
MOM00060230,"MENARA, MO",2003-03-25,0.08,64,76,
MOM00060230,"MENARA, MO",2003-03-26,0,65,,55
MOM00060230,"MENARA, MO",2003-03-27,0,62,70,56
MOM00060230,"MENARA, MO",2003-03-28,0,66,,
MOM00060230,"MENARA, MO",2003-03-29,0,65,77,57
MOM00060230,"MENARA, MO",2003-03-30,0,69,81,60
MOM00060230,"MENARA, MO",2003-03-31,0,72,88,
MOM00060230,"MENARA, MO",2003-04-01,0,71,83,
MOM00060230,"MENARA, MO",2003-04-02,0,66,78,
MOM00060230,"MENARA, MO",2003-04-03,0,66,78,55
MOM00060230,"MENARA, MO",2003-04-04,0,65,,
MOM00060230,"MENARA, MO",2003-04-05,0,63,75,54
MOM00060230,"MENARA, MO",2003-04-06,0,65,,53
MOM00060230,"MENARA, MO",2003-04-07,,64,75,55
MOM00060230,"MENARA, MO",2003-04-08,,61,72,
MOM00060230,"MENARA, MO",2003-04-09,,57,63,
MOM00060230,"MENARA, MO",2003-04-10,0,60,69,
MOM00060230,"MENARA, MO",2003-04-11,0,63,72,55
MOM00060230,"MENARA, MO",2003-04-12,0,66,78,
MOM00060230,"MENARA, MO",2003-04-13,0,61,70,
MOM00060230,"MENARA, MO",2003-04-14,,54,61,
MOM00060230,"MENARA, MO",2003-04-15,0,56,67,48
MOM00060230,"MENARA, MO",2003-04-16,0,62,72,
MOM00060230,"MENARA, MO",2003-04-17,0,66,,54
MOM00060230,"MENARA, MO",2003-04-18,0,63,69,
MOM00060230,"MENARA, MO",2003-04-19,0,62,,56
MOM00060230,"MENARA, MO",2003-04-20,0,62,73,
MOM00060230,"MENARA, MO",2003-04-21,0,62,72,
MOM00060230,"MENARA, MO",2003-04-22,0.02,61,70,54
MOM00060230,"MENARA, MO",2003-04-23,0,63,72,54
MOM00060230,"MENARA, MO",2003-04-24,0,67,,
MOM00060230,"MENARA, MO",2003-04-25,0,73,86,
MOM00060230,"MENARA, MO",2003-04-26,0,72,87,57
MOM00060230,"MENARA, MO",2003-04-27,0,77,,63
MOM00060230,"MENARA, MO",2003-04-28,0,72,83,
MOM00060230,"MENARA, MO",2003-04-29,0,68,76,59
MOM00060230,"MENARA, MO",2003-04-30,,68,,
MOM00060230,"MENARA, MO",2003-05-01,0,67,79,56
MOM00060230,"MENARA, MO",2003-05-02,0,67,80,56
MOM00060230,"MENARA, MO",2003-05-03,0,68,81,
MOM00060230,"MENARA, MO",2003-05-04,0,67,80,55
MOM00060230,"MENARA, MO",2003-05-05,0,64,76,56
MOM00060230,"MENARA, MO",2003-05-06,0,60,70,54
MOM00060230,"MENARA, MO",2003-05-07,0,61,71,53
MOM00060230,"MENARA, MO",2003-05-08,0,65,76,54
MOM00060230,"MENARA, MO",2003-05-09,0,70,85,56
MOM00060230,"MENARA, MO",2003-05-10,0,75,90,61
MOM00060230,"MENARA, MO",2003-05-11,,74,88,67
MOM00060230,"MENARA, MO",2003-05-12,0,72,89,
MOM00060230,"MENARA, MO",2003-05-13,0,78,92,62
MOM00060230,"MENARA, MO",2003-05-14,0,78,,66
MOM00060230,"MENARA, MO",2003-05-15,0,79,94,70
MOM00060230,"MENARA, MO",2003-05-16,0,71,87,60
MOM00060230,"MENARA, MO",2003-05-17,0,72,87,58
MOM00060230,"MENARA, MO",2003-05-18,0,78,95,65
MOM00060230,"MENARA, MO",2003-05-19,0,83,96,71
MOM00060230,"MENARA, MO",2003-05-20,,85,101,
MOM00060230,"MENARA, MO",2003-05-21,0,88,105,
MOM00060230,"MENARA, MO",2003-05-22,0,87,103,73
MOM00060230,"MENARA, MO",2003-05-23,0,79,,72
MOM00060230,"MENARA, MO",2003-05-24,0,73,90,63
MOM00060230,"MENARA, MO",2003-05-25,0,70,84,
MOM00060230,"MENARA, MO",2003-05-26,0,76,,61
MOM00060230,"MENARA, MO",2003-05-27,0,83,101,65
MOM00060230,"MENARA, MO",2003-05-28,0,87,104,
MOM00060230,"MENARA, MO",2003-05-29,0,73,83,
MOM00060230,"MENARA, MO",2003-05-30,0,69,,59
MOM00060230,"MENARA, MO",2003-05-31,0,69,82,58
MOM00060230,"MENARA, MO",2003-06-01,0,68,83,60
MOM00060230,"MENARA, MO",2003-06-02,0,73,,60
MOM00060230,"MENARA, MO",2003-06-03,0,75,90,63
MOM00060230,"MENARA, MO",2003-06-04,0,74,89,62
MOM00060230,"MENARA, MO",2003-06-05,0,74,89,62
MOM00060230,"MENARA, MO",2003-06-06,,76,97,65
MOM00060230,"MENARA, MO",2003-06-07,0.55,80,98,65
MOM00060230,"MENARA, MO",2003-06-08,0,81,99,68
MOM00060230,"MENARA, MO",2003-06-09,0,82,100,70
MOM00060230,"MENARA, MO",2003-06-10,0,86,101,71
MOM00060230,"MENARA, MO",2003-06-11,0,88,105,74
MOM00060230,"MENARA, MO",2003-06-12,0,92,109,
MOM00060230,"MENARA, MO",2003-06-13,0,80,,
MOM00060230,"MENARA, MO",2003-06-14,0,86,101,
MOM00060230,"MENARA, MO",2003-06-15,0,83,96,72
MOM00060230,"MENARA, MO",2003-06-16,0,77,,
MOM00060230,"MENARA, MO",2003-06-17,0,75,91,64
MOM00060230,"MENARA, MO",2003-06-18,0,80,,65
MOM00060230,"MENARA, MO",2003-06-19,0,80,,69
MOM00060230,"MENARA, MO",2003-06-20,0,76,91,64
MOM00060230,"MENARA, MO",2003-06-21,0,76,,63
MOM00060230,"MENARA, MO",2003-06-22,0,75,88,63
MOM00060230,"MENARA, MO",2003-06-23,0,73,82,63
MOM00060230,"MENARA, MO",2003-06-24,0,76,,64
MOM00060230,"MENARA, MO",2003-06-25,0,79,96,
MOM00060230,"MENARA, MO",2003-06-26,0,79,95,64
MOM00060230,"MENARA, MO",2003-06-27,0,79,97,65
MOM00060230,"MENARA, MO",2003-06-28,0,78,95,
MOM00060230,"MENARA, MO",2003-06-29,0,79,96,64
MOM00060230,"MENARA, MO",2003-06-30,0,81,99,66
MOM00060230,"MENARA, MO",2003-07-01,0,84,98,72
MOM00060230,"MENARA, MO",2003-07-02,0,81,96,
MOM00060230,"MENARA, MO",2003-07-03,0,78,96,
MOM00060230,"MENARA, MO",2003-07-04,0,77,94,64
MOM00060230,"MENARA, MO",2003-07-05,0,77,92,65
MOM00060230,"MENARA, MO",2003-07-06,0,80,94,
MOM00060230,"MENARA, MO",2003-07-07,0,83,98,68
MOM00060230,"MENARA, MO",2003-07-08,0,85,101,69
MOM00060230,"MENARA, MO",2003-07-09,0,86,,69
MOM00060230,"MENARA, MO",2003-07-10,0,92,107,78
MOM00060230,"MENARA, MO",2003-07-11,0,87,101,
MOM00060230,"MENARA, MO",2003-07-12,0,85,99,73
MOM00060230,"MENARA, MO",2003-07-13,0,81,97,
MOM00060230,"MENARA, MO",2003-07-14,0,78,94,64
MOM00060230,"MENARA, MO",2003-07-15,0,77,92,
MOM00060230,"MENARA, MO",2003-07-16,0,78,94,67
MOM00060230,"MENARA, MO",2003-07-17,,83,97,
MOM00060230,"MENARA, MO",2003-07-18,0,91,109,75
MOM00060230,"MENARA, MO",2003-07-19,0,94,112,79
MOM00060230,"MENARA, MO",2003-07-20,0,87,103,75
MOM00060230,"MENARA, MO",2003-07-21,0,84,100,72
MOM00060230,"MENARA, MO",2003-07-22,0,85,100,71
MOM00060230,"MENARA, MO",2003-07-23,0,85,100,
MOM00060230,"MENARA, MO",2003-07-24,0,84,102,
MOM00060230,"MENARA, MO",2003-07-25,0,85,102,71
MOM00060230,"MENARA, MO",2003-07-26,0,85,101,
MOM00060230,"MENARA, MO",2003-07-27,0,83,102,70
MOM00060230,"MENARA, MO",2003-07-28,0,88,106,73
MOM00060230,"MENARA, MO",2003-07-29,0,91,112,78
MOM00060230,"MENARA, MO",2003-07-30,0,95,113,82
MOM00060230,"MENARA, MO",2003-07-31,0,96,112,
MOM00060230,"MENARA, MO",2003-08-01,0,98,112,81
MOM00060230,"MENARA, MO",2003-08-02,0,90,101,78
MOM00060230,"MENARA, MO",2003-08-03,0,92,100,80
MOM00060230,"MENARA, MO",2003-08-04,0,91,109,76
MOM00060230,"MENARA, MO",2003-08-05,0,93,112,
MOM00060230,"MENARA, MO",2003-08-06,0,92,109,
MOM00060230,"MENARA, MO",2003-08-07,0,94,107,81
MOM00060230,"MENARA, MO",2003-08-08,0,90,106,
MOM00060230,"MENARA, MO",2003-08-09,,88,106,77
MOM00060230,"MENARA, MO",2003-08-10,0.2,86,,
MOM00060230,"MENARA, MO",2003-08-11,0,89,103,
MOM00060230,"MENARA, MO",2003-08-12,0,90,104,82
MOM00060230,"MENARA, MO",2003-08-13,,89,,79
MOM00060230,"MENARA, MO",2003-08-14,0.12,88,103,
MOM00060230,"MENARA, MO",2003-08-15,0.04,90,101,74
MOM00060230,"MENARA, MO",2003-08-16,0,84,96,
MOM00060230,"MENARA, MO",2003-08-17,0,79,91,
MOM00060230,"MENARA, MO",2003-08-18,0,83,98,70
MOM00060230,"MENARA, MO",2003-08-19,,84,,
MOM00060230,"MENARA, MO",2003-08-20,0,83,96,71
MOM00060230,"MENARA, MO",2003-08-22,0,83,93,
MOM00060230,"MENARA, MO",2003-08-23,0,80,,
MOM00060230,"MENARA, MO",2003-08-24,0,79,94,66
MOM00060230,"MENARA, MO",2003-08-25,0,79,93,
MOM00060230,"MENARA, MO",2003-08-26,0,78,,68
MOM00060230,"MENARA, MO",2003-08-27,0,78,94,66
MOM00060230,"MENARA, MO",2003-08-28,0,77,90,66
MOM00060230,"MENARA, MO",2003-08-29,0,80,93,70
MOM00060230,"MENARA, MO",2003-08-30,0,80,95,
MOM00060230,"MENARA, MO",2003-08-31,0,84,99,72
MOM00060230,"MENARA, MO",2003-09-01,0,85,100,
MOM00060230,"MENARA, MO",2003-09-02,0,81,96,
MOM00060230,"MENARA, MO",2003-09-03,0,81,,
MOM00060230,"MENARA, MO",2003-09-04,0,75,84,
MOM00060230,"MENARA, MO",2003-09-05,0,75,88,
MOM00060230,"MENARA, MO",2003-09-06,0,77,92,66
MOM00060230,"MENARA, MO",2003-09-07,0,79,95,
MOM00060230,"MENARA, MO",2003-09-08,0,80,97,68
MOM00060230,"MENARA, MO",2003-09-09,0,74,,
MOM00060230,"MENARA, MO",2003-09-10,0,78,,
MOM00060230,"MENARA, MO",2003-09-11,0,83,98,
MOM00060230,"MENARA, MO",2003-09-12,0,87,103,
MOM00060230,"MENARA, MO",2003-09-13,0,87,103,
MOM00060230,"MENARA, MO",2003-09-14,0,87,102,
MOM00060230,"MENARA, MO",2003-09-15,0,87,101,
MOM00060230,"MENARA, MO",2003-09-16,0,87,101,
MOM00060230,"MENARA, MO",2003-09-17,0,83,97,73
MOM00060230,"MENARA, MO",2003-09-18,0,82,97,
MOM00060230,"MENARA, MO",2003-09-19,0,83,96,72
MOM00060230,"MENARA, MO",2003-09-20,0,85,103,
MOM00060230,"MENARA, MO",2003-09-21,0,87,101,
MOM00060230,"MENARA, MO",2003-09-22,0,78,,
MOM00060230,"MENARA, MO",2003-09-23,0,73,89,65
MOM00060230,"MENARA, MO",2003-09-24,0,73,87,64
MOM00060230,"MENARA, MO",2003-09-25,0,78,94,65
MOM00060230,"MENARA, MO",2003-09-26,0,80,,67
MOM00060230,"MENARA, MO",2003-09-27,0,80,94,
MOM00060230,"MENARA, MO",2003-09-28,0,79,92,69
MOM00060230,"MENARA, MO",2003-09-29,0,80,92,67
MOM00060230,"MENARA, MO",2003-09-30,0,78,92,67
MOM00060230,"MENARA, MO",2003-10-01,,71,,66
MOM00060230,"MENARA, MO",2003-10-02,0,77,,
MOM00060230,"MENARA, MO",2003-10-03,0,77,91,
MOM00060230,"MENARA, MO",2003-10-04,,71,76,
MOM00060230,"MENARA, MO",2003-10-05,0.01,65,70,
MOM00060230,"MENARA, MO",2003-10-06,0.08,67,76,61
MOM00060230,"MENARA, MO",2003-10-07,0,70,81,
MOM00060230,"MENARA, MO",2003-10-08,0,72,87,
MOM00060230,"MENARA, MO",2003-10-09,0,73,,62
MOM00060230,"MENARA, MO",2003-10-10,,77,,61
MOM00060230,"MENARA, MO",2003-10-11,0,78,,
MOM00060230,"MENARA, MO",2003-10-12,0,74,85,
MOM00060230,"MENARA, MO",2003-10-13,0,70,76,
MOM00060230,"MENARA, MO",2003-10-14,0,70,79,
MOM00060230,"MENARA, MO",2003-10-15,0,72,81,
MOM00060230,"MENARA, MO",2003-10-16,0,66,,
MOM00060230,"MENARA, MO",2003-10-17,0,65,,58
MOM00060230,"MENARA, MO",2003-10-18,0,67,80,
MOM00060230,"MENARA, MO",2003-10-19,0,71,,61
MOM00060230,"MENARA, MO",2003-10-20,0,72,83,64
MOM00060230,"MENARA, MO",2003-10-21,,70,,
MOM00060230,"MENARA, MO",2003-10-22,0.04,69,,
MOM00060230,"MENARA, MO",2003-10-23,0.04,64,,
MOM00060230,"MENARA, MO",2003-10-24,0.43,59,63,55
MOM00060230,"MENARA, MO",2003-10-25,0,62,73,54
MOM00060230,"MENARA, MO",2003-10-26,0,64,74,56
MOM00060230,"MENARA, MO",2003-10-27,0,67,,59
MOM00060230,"MENARA, MO",2003-10-28,0,65,74,
MOM00060230,"MENARA, MO",2003-10-29,0,67,,61
MOM00060230,"MENARA, MO",2003-10-30,0,64,73,
MOM00060230,"MENARA, MO",2003-10-31,0,62,,53
MOM00060230,"MENARA, MO",2003-11-01,0.24,58,65,53
MOM00060230,"MENARA, MO",2003-11-02,0,60,,50
MOM00060230,"MENARA, MO",2003-11-03,0,65,79,53
MOM00060230,"MENARA, MO",2003-11-04,0,67,83,53
MOM00060230,"MENARA, MO",2003-11-05,0,69,,53
MOM00060230,"MENARA, MO",2003-11-06,0,70,84,56
MOM00060230,"MENARA, MO",2003-11-07,0,70,83,
MOM00060230,"MENARA, MO",2003-11-08,0,68,82,
MOM00060230,"MENARA, MO",2003-11-09,0,68,77,
MOM00060230,"MENARA, MO",2003-11-10,0,65,75,57
MOM00060230,"MENARA, MO",2003-11-11,0,63,71,57
MOM00060230,"MENARA, MO",2003-11-12,0,62,75,
MOM00060230,"MENARA, MO",2003-11-13,0,64,,52
MOM00060230,"MENARA, MO",2003-11-14,0,65,79,53
MOM00060230,"MENARA, MO",2003-11-15,0,63,75,
MOM00060230,"MENARA, MO",2003-11-16,0.28,56,,52
MOM00060230,"MENARA, MO",2003-11-17,0.63,55,63,
MOM00060230,"MENARA, MO",2003-11-18,0,56,67,
MOM00060230,"MENARA, MO",2003-11-19,0,58,,50
MOM00060230,"MENARA, MO",2003-11-20,0,58,71,48
MOM00060230,"MENARA, MO",2003-11-21,0,59,,
MOM00060230,"MENARA, MO",2003-11-22,0,57,65,
MOM00060230,"MENARA, MO",2003-11-23,0.08,56,62,
MOM00060230,"MENARA, MO",2003-11-24,0,52,61,45
MOM00060230,"MENARA, MO",2003-11-25,1.14,55,,50
MOM00060230,"MENARA, MO",2003-11-26,0.04,55,62,
MOM00060230,"MENARA, MO",2003-11-27,0,54,65,
MOM00060230,"MENARA, MO",2003-11-28,0,55,65,
MOM00060230,"MENARA, MO",2003-11-29,0,55,65,48
MOM00060230,"MENARA, MO",2003-11-30,0,54,64,
MOM00060230,"MENARA, MO",2003-12-01,,53,57,
MOM00060230,"MENARA, MO",2003-12-02,0.16,50,56,
MOM00060230,"MENARA, MO",2003-12-03,0.04,49,58,
MOM00060230,"MENARA, MO",2003-12-04,0.24,51,58,46
MOM00060230,"MENARA, MO",2003-12-05,0.12,53,61,46
MOM00060230,"MENARA, MO",2003-12-06,0.12,55,,44
MOM00060230,"MENARA, MO",2003-12-07,0,57,68,
MOM00060230,"MENARA, MO",2003-12-08,0,55,65,
MOM00060230,"MENARA, MO",2003-12-09,,57,63,51
MOM00060230,"MENARA, MO",2003-12-10,,54,,
MOM00060230,"MENARA, MO",2003-12-11,0.16,53,63,46
MOM00060230,"MENARA, MO",2003-12-12,0,52,65,42
MOM00060230,"MENARA, MO",2003-12-13,0,54,69,42
MOM00060230,"MENARA, MO",2003-12-14,0,56,71,
MOM00060230,"MENARA, MO",2003-12-15,0,55,67,44
MOM00060230,"MENARA, MO",2003-12-16,0,55,67,43
MOM00060230,"MENARA, MO",2003-12-17,0,53,63,48
MOM00060230,"MENARA, MO",2003-12-18,0,56,67,47
MOM00060230,"MENARA, MO",2003-12-19,0,56,,
MOM00060230,"MENARA, MO",2003-12-20,0,58,,
MOM00060230,"MENARA, MO",2003-12-21,0,60,75,
MOM00060230,"MENARA, MO",2003-12-22,0,59,,49
MOM00060230,"MENARA, MO",2003-12-23,0,57,73,
MOM00060230,"MENARA, MO",2003-12-24,0,55,72,43
MOM00060230,"MENARA, MO",2003-12-25,0,58,73,46
MOM00060230,"MENARA, MO",2003-12-26,0,60,74,49
MOM00060230,"MENARA, MO",2003-12-27,0,60,68,53
MOM00060230,"MENARA, MO",2003-12-28,0.03,56,60,
MOM00060230,"MENARA, MO",2003-12-29,0.01,54,60,
MOM00060230,"MENARA, MO",2003-12-30,0,51,,
MOM00060230,"MENARA, MO",2003-12-31,0,50,,
MOM00060230,"MENARA, MO",2004-01-01,0,52,65,
MOM00060230,"MENARA, MO",2004-01-02,0,54,62,
MOM00060230,"MENARA, MO",2004-01-03,0,55,,
MOM00060230,"MENARA, MO",2004-01-04,0,53,66,
MOM00060230,"MENARA, MO",2004-01-05,0,55,,
MOM00060230,"MENARA, MO",2004-01-06,0,56,70,43
MOM00060230,"MENARA, MO",2004-01-07,0,54,65,
MOM00060230,"MENARA, MO",2004-01-08,0,55,,43
MOM00060230,"MENARA, MO",2004-01-09,0,55,70,
MOM00060230,"MENARA, MO",2004-01-10,0,56,71,
MOM00060230,"MENARA, MO",2004-01-11,0,54,65,
MOM00060230,"MENARA, MO",2004-01-12,0,54,,
MOM00060230,"MENARA, MO",2004-01-13,0,56,,45
MOM00060230,"MENARA, MO",2004-01-14,0,56,,45
MOM00060230,"MENARA, MO",2004-01-15,0,53,,
MOM00060230,"MENARA, MO",2004-01-16,0,54,64,47
MOM00060230,"MENARA, MO",2004-01-17,0,54,,
MOM00060230,"MENARA, MO",2004-01-18,0,54,65,
MOM00060230,"MENARA, MO",2004-01-19,0,50,,
MOM00060230,"MENARA, MO",2004-01-20,0,46,60,
MOM00060230,"MENARA, MO",2004-01-21,0,49,,36
MOM00060230,"MENARA, MO",2004-01-22,0,47,,
MOM00060230,"MENARA, MO",2004-01-23,0,51,64,
MOM00060230,"MENARA, MO",2004-01-24,0,52,,
MOM00060230,"MENARA, MO",2004-01-25,0,54,,40
MOM00060230,"MENARA, MO",2004-01-26,0,54,68,43
MOM00060230,"MENARA, MO",2004-01-27,0,54,65,45
MOM00060230,"MENARA, MO",2004-01-28,0,55,,
MOM00060230,"MENARA, MO",2004-01-29,0,57,63,54
MOM00060230,"MENARA, MO",2004-01-30,0,57,67,
MOM00060230,"MENARA, MO",2004-01-31,0,57,71,
MOM00060230,"MENARA, MO",2004-02-01,0,60,74,46
MOM00060230,"MENARA, MO",2004-02-02,0,63,,
MOM00060230,"MENARA, MO",2004-02-03,0,62,77,
MOM00060230,"MENARA, MO",2004-02-04,0,63,79,
MOM00060230,"MENARA, MO",2004-02-05,0,63,79,
MOM00060230,"MENARA, MO",2004-02-06,0,61,77,
MOM00060230,"MENARA, MO",2004-02-07,0,62,76,48
MOM00060230,"MENARA, MO",2004-02-08,0,59,,
MOM00060230,"MENARA, MO",2004-02-09,0,60,73,
MOM00060230,"MENARA, MO",2004-02-10,0,61,74,
MOM00060230,"MENARA, MO",2004-02-11,0,62,74,
MOM00060230,"MENARA, MO",2004-02-12,0,60,76,
MOM00060230,"MENARA, MO",2004-02-13,0,62,,
MOM00060230,"MENARA, MO",2004-02-14,0,59,70,
MOM00060230,"MENARA, MO",2004-02-15,0,56,67,
MOM00060230,"MENARA, MO",2004-02-16,0,57,74,42
MOM00060230,"MENARA, MO",2004-02-17,0,60,,
MOM00060230,"MENARA, MO",2004-02-18,0,62,75,50
MOM00060230,"MENARA, MO",2004-02-19,0,65,73,
MOM00060230,"MENARA, MO",2004-02-20,0.12,59,71,53
MOM00060230,"MENARA, MO",2004-02-21,0,55,,
MOM00060230,"MENARA, MO",2004-02-22,0,53,64,
MOM00060230,"MENARA, MO",2004-02-23,0,56,,45
MOM00060230,"MENARA, MO",2004-02-24,0,59,76,48
MOM00060230,"MENARA, MO",2004-02-25,,57,,
MOM00060230,"MENARA, MO",2004-02-26,,53,56,
MOM00060230,"MENARA, MO",2004-02-27,0,52,,44
MOM00060230,"MENARA, MO",2004-02-28,0,53,62,
MOM00060230,"MENARA, MO",2004-02-29,0,52,62,43
MOM00060230,"MENARA, MO",2004-03-01,0,53,,
MOM00060230,"MENARA, MO",2004-03-02,0.12,57,63,
MOM00060230,"MENARA, MO",2004-03-03,0.16,56,,
